hr,arr
68,false
73,false
77,false
89,false
87,false
90,false
91,false
73,false
71,false
68,false
68,false
66,false
68,false
78,false
82,false
77,false
85,false
88,false
94,false
93,false
92,false
79,false
76,false
83,false
77,false
73,false
73,false
72,false
76,false
74,false
71,false
94,false
79,false
84,false
82,false
81,false
87,false
102,false
97,false
89,false
98,false
98,false
89,false
107,false
88,false
78,false
73,false
61,false
54,false
65,false
60,false
59,false
59,false
64,false
72,false
61,false
64,false
67,false
65,false
60,false
59,false
60,false
56,false
58,false
59,false
61,false
65,false
63,false
63,false
62,false
67,false
63,false
64,false
60,false
63,false
61,false
63,false
69,false
80,false
76,false
72,false
65,false
64,false
62,false
64,false
60,false
61,false
68,false
67,false
64,false
66,false
62,false
63,false
65,false
61,false
64,false
65,false
69,false
57,false
64,false
64,false
62,false
61,false
61,false
58,false
59,false
62,false
64,false
61,false
61,false
61,false
60,false
61,false
61,false
62,false
64,false
61,false
60,false
65,false
62,false
63,false
65,false
63,false
60,false
63,false
66,false
63,false
63,false
66,false
64,false
57,false
62,false
64,false
60,false
62,false
64,false
61,false
61,false
60,false
64,false
68,false
71,false
66,false
63,false
67,false
69,false
75,false
82,false
74,false
71,false
70,false
65,false
64,false
65,false
60,false
66,false
74,false
68,false
68,false
66,false
63,false
67,false
63,false
66,false
69,false
70,false
64,false
69,false
68,false
71,false
73,false
78,false
79,false
69,false
67,false
67,false
69,false
91,false
92,false
82,false
90,false
95,false
108,false
108,false
103,false
96,false
71,false
75,false
83,false
75,false
79,false
79,false
81,false
77,false
77,false
87,false
85,false
77,false
67,false
67,false
72,false
75,false
67,false
69,false
77,false
67,false
79,false
94,false
72,false
68,false
75,false
86,false
64,false
69,false
75,false
84,false
66,false
72,false
70,false
89,false
86,false
91,false
96,false
97,false
95,false
101,false
94,false
95,false
89,false
94,false
86,false
89,false
89,false
86,false
81,false
87,false
87,false
82,false
73,false
72,false
75,false
75,false
72,false
78,false
86,false
72,false
75,false
76,false
81,false
77,false
94,false
79,false
75,false
80,false
74,false
79,false
79,false
80,false
78,false
82,false
87,false
83,false
77,false
72,false
71,false
78,false
75,false
70,false
76,false
72,false
74,false
75,false
67,false
65,false
73,false
75,false
80,false
76,false
81,false
78,false
85,false
87,false
80,false
75,false
90,false
66,false
67,false
75,false
66,false
68,false
69,false
73,false
77,false
75,false
87,false
69,false
74,false
69,false
85,false
74,false
65,false
68,false
73,false
73,false
76,false
79,false
88,false
74,false
70,false
87,false
83,false
88,false
80,false
86,false
90,false
89,false
88,false
81,false
79,false
82,false
85,false
84,false
77,false
85,false
89,false
84,false
89,false
89,false
83,false
81,false
79,false
85,false
86,false
70,false
68,false
69,false
71,false
78,false
86,false
74,false
61,false
64,false
56,false
64,false
63,false
62,false
65,false
59,false
65,false
62,false
60,false
72,false
63,false
74,false
89,false
82,false
79,false
86,false
88,false
88,false
87,false
89,false
78,false
71,false
58,false
59,false
54,false
58,false
72,false
86,false
83,false
84,false
79,false
85,false
85,false
78,false
70,false
69,false
71,false
68,false
67,false
90,false
82,false
80,false
79,false
80,false
85,false
83,false
79,false
74,false
71,false
73,false
73,false
72,false
87,false
84,false
71,false
73,false
83,false
72,false
70,false
73,false
77,false
79,false
93,false
63,false
66,false
71,false
74,false
77,false
73,false
72,false
76,false
71,false
75,false
72,false
65,false
71,false
76,false
76,false
90,false
82,false
73,false
70,false
74,false
81,false
87,false
84,false
81,false
77,false
78,false
82,false
81,false
89,false
81,false
75,false
71,false
72,false
71,false
79,false
84,false
85,false
82,false
84,false
83,false
88,false
81,false
71,false
74,false
68,false
69,false
73,false
82,false
79,false
80,false
83,false
76,false
80,false
71,false
73,false
82,false
77,false
74,false
79,false
72,false
78,false
87,false
86,false
86,false
83,false
87,false
89,false
89,false
79,false
84,false
79,false
77,false
81,false
77,false
77,false
77,false
79,false
78,false
77,false
73,false
84,false
76,false
82,false
84,false
78,false
75,false
74,false
86,false
79,false
77,false
81,false
81,false
82,false
81,false
81,false
70,false
78,false
85,false
75,false
74,false
73,false
78,false
76,false
74,false
76,false
80,false
75,false
78,false
85,false
86,false
77,false
84,false
74,false
80,false
82,false
82,false
77,false
82,false
79,false
87,false
94,false
78,false
84,false
91,false
80,false
79,false
86,false
83,false
91,false
86,false
85,false
83,false
89,false
96,false
106,false
89,false
95,false
89,false
92,false
84,false
86,false
81,false
91,false
93,false
95,false
99,false
96,false
80,false
83,false
88,false
77,false
75,false
79,false
81,false
81,false
86,false
77,false
71,false
77,false
71,false
70,false
83,false
78,false
76,false
79,false
71,false
68,false
65,false
79,false
78,false
66,false
68,false
76,false
69,false
76,false
73,false
69,false
74,false
88,false
95,false
90,false
87,false
82,false
81,false
78,false
86,false
93,false
95,false
94,false
93,false
93,false
91,false
84,false
79,false
82,false
89,false
86,false
89,false
91,false
91,false
77,false
90,false
91,false
85,false
68,false
65,false
73,false
85,false
86,false
92,false
70,false
71,false
71,false
66,false
70,false
64,false
68,false
68,false
63,false
76,false
77,false
78,false
79,false
70,false
66,false
71,false
72,false
75,false
78,false
79,false
74,false
70,false
72,false
66,false
68,false
67,false
74,false
66,false
70,false
66,false
70,false
69,false
76,false
78,false
78,false
72,false
76,false
72,false
73,false
71,false
74,false
68,false
70,false
70,false
66,false
68,false
71,false
71,false
67,false
66,false
68,false
65,false
64,false
70,false
77,false
84,false
78,false
73,false
66,false
66,false
62,false
70,false
76,false
80,false
82,false
69,false
76,false
68,false
70,false
72,false
66,false
66,false
69,false
69,false
61,false
62,false
65,false
65,false
64,false
70,false
67,false
69,false
66,false
66,false
67,false
69,false
80,false
80,false
65,false
68,false
65,false
66,false
70,false
67,false
66,false
69,false
69,false
63,false
66,false
67,false
68,false
72,false
82,false
82,false
60,false
61,false
70,false
78,false
67,false
76,false
74,false
73,false
74,false
82,false
80,false
74,false
76,false
78,false
72,false
76,false
74,false
74,false
75,false
71,false
75,false
70,false
73,false
69,false
72,false
77,false
77,false
73,false
77,false
71,false
74,false
79,false
78,false
76,false
68,false
72,false
72,false
66,false
74,false
73,false
69,false
67,false
73,false
77,false
77,false
72,false
66,false
