hr,arr
86,false
87,false
88,false
89,false
88,false
89,false
89,false
89,false
91,false
88,false
88,false
87,false
86,false
88,false
89,false
88,false
89,false
90,false
90,false
93,false
93,false
92,false
90,false
89,false
87,false
88,false
85,false
88,false
87,false
89,false
91,false
93,false
94,false
95,false
96,false
90,false
90,false
-2147483648,false
-2147483648,false
88,true
96,false
93,false
95,false
93,false
91,false
89,false
89,false
90,false
90,false
91,false
90,false
92,false
90,false
95,false
98,false
98,false
97,false
97,false
99,false
93,false
95,false
90,false
90,false
88,false
91,false
95,false
100,false
100,false
96,false
93,false
91,false
89,false
93,false
93,false
94,false
96,false
92,false
90,false
91,false
91,false
89,false
87,false
90,false
90,false
91,false
92,false
92,false
94,false
94,false
94,false
93,false
91,false
92,false
93,false
94,false
91,false
85,false
87,false
87,false
89,false
88,false
87,false
87,false
86,false
88,false
90,false
87,false
92,false
92,false
94,false
93,false
93,false
95,false
98,false
99,false
98,false
98,false
96,false
94,false
94,false
96,false
94,false
93,true
90,false
96,false
95,false
93,false
92,false
93,false
92,false
93,false
92,false
90,false
92,false
91,false
90,false
91,false
89,false
92,false
91,false
92,false
94,false
91,false
92,false
94,false
96,false
96,false
95,false
95,false
94,false
90,false
93,false
91,false
98,false
95,false
92,false
89,false
89,false
90,false
89,false
89,false
87,false
94,false
92,false
93,false
96,false
96,false
99,false
97,false
97,false
100,false
102,false
102,false
98,false
99,false
93,false
89,false
91,false
93,false
91,false
92,false
91,false
96,false
96,true
101,false
101,false
100,false
96,false
95,false
91,false
91,false
92,false
93,false
96,false
94,false
94,false
94,false
95,false
94,false
91,false
92,false
92,false
91,false
92,false
92,false
92,false
93,false
92,false
93,false
91,false
95,false
94,false
93,false
94,false
87,false
90,false
93,false
93,false
93,false
96,false
95,false
94,false
95,false
95,false
97,false
96,false
95,false
94,false
95,false
94,false
95,false
95,false
96,false
96,false
97,false
96,false
95,false
94,false
94,false
91,false
90,false
92,false
91,false
93,false
94,false
95,false
95,false
95,false
94,false
94,false
94,false
94,false
94,false
94,false
93,false
94,false
93,false
90,false
92,false
91,false
92,false
90,false
90,false
91,false
92,false
93,false
93,false
95,false
95,false
96,false
95,false
97,false
97,false
99,false
99,false
98,false
95,false
96,false
97,false
94,false
92,false
91,false
91,false
90,true
90,false
91,false
87,false
89,false
87,false
84,false
90,false
92,false
92,false
90,false
84,false
88,false
87,false
86,false
90,false
89,false
88,false
90,false
91,false
92,false
92,false
95,false
98,false
97,false
95,false
93,false
93,false
88,false
92,false
93,true
89,false
87,false
91,false
91,false
90,false
91,false
88,false
88,false
89,false
86,false
92,false
88,false
90,false
88,false
90,false
89,false
91,false
91,false
85,false
90,false
92,false
89,false
92,false
91,false
90,false
90,false
