hr,arr
66,false
67,false
66,false
69,true
70,true
75,true
71,false
74,false
76,false
79,false
81,false
79,false
79,false
81,false
81,false
83,false
83,false
83,false
82,false
82,false
79,false
79,false
78,false
79,false
78,false
79,false
80,false
83,true
84,false
84,false
83,false
80,false
78,false
75,false
74,false
74,true
73,false
72,false
69,false
71,true
72,true
72,true
71,false
70,false
72,false
74,false
76,false
77,false
78,true
79,true
78,true
77,true
73,false
76,true
71,false
69,false
66,false
66,false
65,false
71,true
70,true
66,false
67,false
67,false
68,false
68,false
67,false
68,false
70,true
70,true
67,false
67,false
68,false
68,false
70,true
71,true
66,false
66,false
66,false
65,false
66,false
71,true
67,false
68,false
69,false
68,false
67,false
65,false
65,false
65,false
65,false
65,false
65,false
64,false
65,false
65,false
64,false
64,false
64,false
65,false
63,false
64,false
64,false
63,false
64,false
64,false
62,false
63,false
61,false
62,false
63,false
61,false
61,false
62,false
61,false
62,false
61,false
62,false
63,false
64,false
63,false
62,false
61,false
61,false
61,false
62,false
61,false
61,false
61,false
61,false
62,false
60,false
60,false
60,false
61,false
61,false
61,false
61,false
61,false
62,false
61,false
60,false
61,false
62,false
62,false
61,false
62,false
62,false
62,false
62,false
61,false
61,false
62,false
61,false
62,false
61,false
62,false
62,false
62,false
62,false
62,false
61,false
62,false
62,false
62,false
62,false
62,false
63,false
61,false
61,false
62,false
63,false
61,false
62,false
63,false
63,false
63,false
62,false
61,false
61,false
62,false
63,false
63,false
62,false
62,false
62,false
62,false
63,false
62,false
62,false
62,false
62,false
63,false
63,false
62,false
62,false
63,false
63,false
63,false
61,false
63,false
63,false
63,false
62,false
62,false
62,false
61,false
61,false
61,false
61,false
61,false
61,false
62,false
62,false
61,false
63,false
61,false
60,false
61,false
61,false
61,false
60,false
61,false
60,false
60,false
61,false
61,false
61,false
62,false
61,false
61,false
61,false
60,false
61,false
58,false
60,false
61,false
60,false
61,false
61,false
60,false
61,false
61,false
59,false
60,false
60,false
60,false
60,false
60,false
61,false
61,false
61,false
63,false
