hr,arr
84,false
84,false
86,false
92,false
91,false
83,false
79,false
91,false
91,false
87,false
96,false
92,false
84,false
91,false
82,false
93,false
97,false
92,false
96,false
86,false
94,false
96,false
91,false
90,false
91,false
83,false
89,false
91,false
92,false
87,false
85,false
90,false
85,false
91,false
96,false
99,false
89,false
84,false
90,false
83,false
88,false
92,false
89,false
87,false
93,false
93,false
93,false
95,false
92,false
91,false
80,false
95,false
87,false
84,false
87,false
89,false
102,false
91,false
94,false
91,false
91,false
86,false
87,false
94,false
93,false
94,false
84,false
89,false
85,false
89,false
86,false
82,false
84,false
86,false
87,false
97,false
106,false
101,false
102,false
94,false
90,false
91,false
103,false
96,false
92,false
93,false
91,false
90,true
96,false
94,false
91,false
102,false
110,false
105,false
110,false
104,false
105,false
99,false
102,false
99,false
88,false
86,false
92,false
96,false
96,false
95,false
92,false
94,false
95,false
95,false
98,false
98,false
100,false
88,false
89,false
93,false
92,false
86,false
88,false
95,false
91,false
82,false
91,false
89,false
85,false
89,false
92,false
85,false
87,false
95,false
90,false
86,true
88,false
93,false
91,false
85,false
84,false
86,false
75,false
92,false
94,false
88,false
84,false
87,false
81,false
84,false
95,false
79,false
83,false
91,false
82,false
91,false
91,false
86,false
90,false
79,false
83,false
93,false
88,false
93,false
93,true
89,false
91,false
95,false
94,false
90,false
81,false
89,true
85,false
89,false
93,false
87,false
92,false
71,false
89,true
92,false
93,false
82,false
91,false
81,false
90,false
87,true
80,false
83,false
84,false
86,false
86,false
91,false
100,false
92,false
93,false
94,false
92,false
89,false
88,false
91,false
99,false
99,false
92,true
103,false
93,false
96,false
96,false
99,false
97,false
98,false
96,false
96,false
91,false
99,false
93,false
109,false
99,false
88,false
93,false
98,false
97,false
108,true
104,false
112,false
95,false
90,false
95,false
95,false
101,false
91,false
97,false
98,false
92,false
94,false
85,false
104,false
95,false
85,false
84,false
98,false
89,false
91,false
92,false
92,false
82,false
88,false
86,false
95,false
86,false
80,false
93,false
87,false
82,false
87,false
94,false
97,false
99,false
101,false
86,false
91,false
89,false
94,false
97,false
101,false
98,true
100,false
90,false
100,false
106,false
119,false
113,false
102,false
114,false
93,false
111,false
111,false
103,false
115,false
105,false
96,false
100,false
103,true
98,false
105,false
99,false
109,false
98,false
94,false
96,false
89,false
93,false
98,false
87,false
100,false
83,true
100,false
105,false
101,false
108,false
99,false
109,false
118,false
101,false
108,false
101,false
108,false
101,false
95,false
96,false
100,false
103,false
103,false
117,false
102,false
105,false
102,false
98,false
107,true
101,false
108,false
100,false
101,true
96,false
97,false
86,false
89,false
94,false
105,false
101,false
111,false
104,false
103,false
121,false
103,false
112,false
111,true
93,false
100,false
89,false
99,false
96,false
96,false
97,false
100,false
105,false
107,false
96,false
99,false
108,false
105,false
92,false
101,false
107,false
105,false
98,false
96,false
104,false
105,false
99,false
99,false
116,false
105,false
107,false
100,true
107,false
111,false
95,false
105,false
112,false
105,false
104,false
96,false
100,false
101,false
106,false
101,true
96,false
97,false
101,false
94,false
105,false
95,false
88,false
97,false
97,false
98,false
97,false
96,false
94,false
95,false
102,false
96,false
91,false
94,false
91,true
98,false
90,false
94,false
89,false
92,false
97,false
89,false
96,false
88,false
84,false
100,false
88,false
86,false
85,false
92,false
88,false
83,false
80,false
91,false
97,false
90,false
90,false
85,false
88,false
77,false
83,false
82,false
80,false
89,false
96,false
95,false
82,false
75,false
89,false
86,false
79,false
79,false
75,false
98,false
90,false
87,false
69,false
86,false
81,false
99,false
89,false
80,false
78,false
72,false
81,false
81,false
92,false
79,false
80,false
87,false
78,false
90,false
100,false
89,false
84,false
79,false
77,true
88,false
88,false
76,false
74,false
95,false
89,true
86,false
78,false
82,false
87,false
78,false
81,true
77,false
86,false
90,false
86,false
76,false
85,false
86,false
93,false
93,false
85,false
77,false
80,false
82,false
79,false
73,false
77,false
82,false
92,false
85,false
77,false
80,false
74,false
84,false
86,false
90,false
78,false
75,false
91,false
89,false
82,false
84,false
84,false
85,false
87,false
79,false
76,false
84,false
95,false
90,false
83,false
81,false
83,false
86,false
85,false
88,false
80,false
88,false
83,false
81,false
84,false
89,false
86,false
95,false
90,false
90,false
86,false
84,false
89,false
80,false
80,false
82,false
83,true
80,true
84,false
91,false
102,false
87,false
87,false
92,false
83,false
92,false
94,false
87,false
92,false
90,false
81,false
83,false
87,false
81,false
86,false
85,false
92,false
89,false
90,false
90,false
94,false
85,false
86,false
74,false
78,false
87,false
85,false
87,true
87,false
80,false
81,false
83,false
76,false
88,false
89,false
79,false
76,false
88,false
77,false
81,false
89,false
93,false
82,false
85,false
85,false
72,false
81,false
90,false
82,true
84,false
83,false
87,false
80,false
89,false
78,false
83,false
85,false
77,false
79,false
82,false
81,false
84,false
84,false
76,false
83,false
87,false
83,false
90,false
82,false
89,false
81,false
83,false
80,false
89,false
83,false
84,false
90,false
89,false
86,false
77,false
86,false
88,true
85,false
79,false
81,false
87,false
85,false
89,false
85,false
82,false
79,false
79,false
79,false
77,false
89,true
88,false
85,false
84,false
81,false
89,false
84,false
81,false
87,false
82,false
76,false
78,false
94,false
85,false
90,false
80,false
90,false
90,false
76,false
89,false
88,false
84,false
84,false
91,false
86,false
79,false
77,false
88,false
92,false
85,false
76,false
85,false
89,false
82,false
82,false
89,true
81,false
84,false
97,false
83,false
88,false
82,false
82,false
87,false
89,false
85,false
92,false
92,false
87,false
86,false
85,false
86,false
79,false
89,false
82,false
86,false
85,false
84,false
93,false
78,false
81,false
84,false
84,false
88,false
82,false
85,false
91,false
86,false
81,false
83,false
95,false
93,false
87,false
82,false
92,false
97,true
86,true
90,false
92,false
86,false
79,false
84,false
81,false
85,false
83,false
86,false
85,false
87,false
91,false
84,false
83,false
82,false
91,false
83,false
90,false
84,false
85,false
93,false
95,false
88,false
79,false
85,false
83,false
85,false
82,false
87,false
77,false
91,false
81,false
88,false
88,false
89,false
88,false
83,false
96,false
92,false
90,false
84,false
85,false
72,false
90,false
78,false
93,false
86,false
84,false
90,true
80,true
89,false
93,false
80,false
84,false
84,false
92,false
87,false
75,false
83,false
88,false
88,false
104,false
102,false
91,false
89,false
90,false
84,false
87,true
89,false
85,false
87,false
92,false
95,false
81,false
82,false
89,false
80,false
86,false
88,false
82,false
88,false
83,false
79,false
85,false
90,false
84,false
87,false
79,false
85,false
86,false
82,false
88,false
81,false
91,false
94,false
84,false
88,false
87,false
86,false
71,true
82,false
85,false
86,false
76,false
88,false
88,false
74,false
88,false
87,false
86,false
83,false
84,false
88,false
82,false
92,true
81,false
81,false
87,true
