hr,arr
89,false
89,false
86,true
88,true
88,true
86,true
89,true
83,true
86,true
88,true
86,true
105,true
96,true
97,true
97,true
102,true
96,true
99,true
91,true
93,true
95,true
100,true
92,true
93,true
96,true
101,true
100,true
100,true
98,true
107,true
106,true
97,true
105,true
103,true
100,true
96,true
99,true
99,true
92,true
94,true
95,true
91,true
95,true
95,true
89,true
89,true
93,true
91,true
101,true
93,true
90,true
94,true
95,true
95,true
97,true
112,true
103,true
101,true
102,true
100,true
102,true
103,true
103,true
112,true
108,true
113,true
109,true
110,true
105,true
110,true
108,true
103,true
106,true
96,true
106,true
109,true
101,true
100,true
103,true
106,true
101,true
100,true
101,true
100,true
98,true
95,true
108,true
107,true
113,true
107,true
107,true
108,true
114,true
103,true
94,true
96,true
97,true
93,true
93,true
96,true
90,true
91,true
91,true
90,true
90,true
85,true
87,true
95,true
106,true
101,true
94,true
92,true
88,true
95,true
91,true
98,true
104,true
98,true
98,true
92,true
94,true
92,true
87,true
91,true
89,true
98,true
89,true
98,true
92,true
98,true
100,true
103,true
113,true
113,true
111,true
109,true
109,true
109,true
109,true
109,true
104,true
112,true
113,true
112,true
111,true
110,true
109,true
106,true
109,true
103,true
101,true
100,true
98,true
96,true
95,true
97,true
101,true
98,true
99,true
101,true
110,true
100,true
105,true
102,true
101,true
112,true
111,true
116,true
116,true
117,true
111,true
110,true
112,true
105,true
102,true
100,true
97,true
100,true
98,true
104,true
93,true
98,true
100,true
101,true
95,true
93,true
91,true
95,true
97,true
106,true
94,true
93,true
94,true
97,true
88,true
95,true
93,true
96,true
106,true
98,true
88,true
97,true
99,true
104,true
100,true
102,true
97,true
101,true
106,true
96,true
104,true
99,true
93,true
95,true
92,true
92,true
91,true
88,true
95,true
88,true
92,true
104,true
91,true
89,true
91,true
91,true
92,true
90,true
91,true
93,true
90,true
87,true
91,true
91,true
89,true
91,true
89,true
89,true
87,true
90,true
97,true
93,true
89,true
90,true
90,true
94,true
89,true
89,true
90,true
88,true
96,true
86,true
87,true
106,true
87,true
92,true
86,true
96,true
90,true
88,true
105,true
87,true
96,true
88,true
92,true
87,true
87,true
90,true
87,true
94,true
88,true
91,true
89,true
91,true
96,true
88,true
103,true
97,true
95,true
96,true
94,true
104,true
95,true
81,true
95,true
93,true
87,true
103,true
96,true
89,true
95,true
96,true
93,true
95,true
91,true
100,true
88,true
86,true
99,true
88,true
89,true
87,true
91,true
96,true
94,true
88,true
86,true
91,true
90,true
90,true
88,true
89,true
86,true
89,true
89,true
85,true
93,true
95,true
89,true
86,true
88,true
89,true
88,true
89,true
87,true
87,true
89,true
88,true
86,true
85,true
86,true
86,true
90,true
87,true
87,true
85,true
94,true
87,true
90,true
88,true
91,true
93,true
95,true
93,true
96,true
94,true
96,true
87,true
86,true
82,true
84,true
90,true
87,true
81,true
94,true
93,true
83,true
92,true
82,true
94,true
89,true
86,true
88,true
87,true
99,true
92,true
95,true
98,true
95,true
99,true
96,true
92,true
92,true
91,true
92,true
92,true
91,true
92,true
92,true
92,true
91,true
92,true
92,true
87,true
95,true
95,true
93,true
96,true
93,true
90,true
91,true
94,true
97,true
99,true
96,true
94,true
94,true
96,true
101,true
102,true
104,true
104,true
108,true
101,true
108,true
100,true
97,true
102,true
104,true
100,true
105,true
101,true
93,true
100,true
102,true
109,true
105,true
103,true
103,true
111,true
113,true
117,true
110,true
112,true
108,true
102,true
115,true
108,true
100,true
104,true
101,true
109,true
94,true
90,true
92,true
104,true
92,true
104,true
95,true
92,true
99,true
101,true
105,true
95,true
96,true
102,true
100,true
104,true
114,true
115,true
105,true
121,true
116,true
117,true
110,true
105,true
106,true
109,true
106,true
119,true
105,true
109,true
104,true
107,true
112,true
108,true
105,true
107,true
106,true
108,true
115,true
116,true
113,true
116,true
104,true
103,true
100,true
104,true
107,true
105,true
106,true
104,true
109,true
108,true
112,true
111,true
108,true
106,true
114,true
115,true
108,true
105,true
119,true
112,true
110,true
101,true
101,true
97,true
96,true
95,true
104,true
95,true
105,true
102,true
99,true
102,true
106,true
100,true
105,true
96,true
101,true
96,true
94,true
94,true
89,true
89,true
91,true
97,true
91,true
85,true
89,true
91,true
90,true
90,true
93,true
86,true
84,false
93,true
87,true
89,true
90,true
100,true
91,true
88,true
86,true
94,true
87,true
92,true
94,true
91,true
90,true
93,true
92,true
90,true
90,true
89,true
95,true
87,true
90,true
88,true
84,true
91,true
93,true
98,true
102,true
98,true
99,true
96,true
93,true
92,true
96,true
91,true
94,true
88,true
86,true
95,true
91,true
90,true
90,true
98,true
95,true
91,true
97,true
98,true
97,true
97,true
94,true
88,true
90,true
91,true
85,true
97,true
98,true
93,true
99,true
93,true
98,true
97,true
99,true
97,true
91,true
101,true
94,true
100,true
101,true
97,true
110,true
96,true
98,true
93,true
97,true
98,true
93,true
98,true
94,true
93,true
93,true
97,true
91,true
95,true
99,true
99,true
99,true
100,true
103,true
100,true
102,true
103,true
106,true
101,true
103,true
105,true
101,true
104,true
108,true
105,true
108,true
105,true
106,true
107,true
104,true
108,true
100,true
101,true
100,true
99,true
97,true
98,true
100,true
97,true
94,true
95,true
93,true
95,true
99,true
99,true
97,true
97,true
99,true
99,true
108,true
101,true
103,true
98,true
100,true
94,true
100,true
103,true
101,true
93,true
91,false
98,true
100,true
98,true
103,true
103,true
96,true
100,true
100,true
95,true
98,true
103,true
98,true
99,true
103,true
94,true
96,true
97,true
98,true
95,true
98,true
98,true
99,true
101,true
100,true
98,true
98,true
99,true
98,true
102,true
101,true
101,true
100,true
97,true
102,true
106,true
104,true
102,true
104,true
108,true
94,true
96,true
95,true
98,true
100,true
97,true
102,true
97,true
94,true
104,true
99,true
100,true
101,true
94,true
95,true
94,true
101,true
100,true
91,true
100,true
99,true
100,true
100,true
99,true
102,true
101,true
104,true
108,true
119,true
106,true
105,true
112,true
106,true
111,true
107,true
109,true
108,true
105,true
106,true
110,true
111,true
112,true
107,true
105,true
105,true
102,true
102,true
103,true
106,true
106,true
107,true
103,true
106,true
103,true
100,true
100,true
99,true
97,true
99,true
97,true
96,true
99,true
102,true
96,true
100,true
95,true
99,true
95,true
95,true
91,false
93,false
96,true
99,true
95,true
97,true
97,true
98,true
96,true
91,true
91,false
94,true
96,true
95,true
98,true
101,true
98,true
102,true
102,true
107,true
105,true
115,true
117,true
110,true
111,true
107,true
112,true
115,true
113,true
110,true
114,true
116,true
118,true
113,true
112,true
116,true
109,true
108,true
109,true
111,true
109,true
109,true
109,true
111,true
115,true
109,true
118,true
118,true
116,true
120,true
121,true
119,true
120,true
117,true
114,true
114,true
113,true
112,true
106,true
108,true
105,true
104,true
104,true
108,true
109,true
101,true
109,true
99,true
98,true
105,true
100,true
98,true
99,true
104,true
98,true
105,true
103,true
93,true
99,true
103,true
98,true
101,true
100,true
96,true
103,true
99,true
99,true
97,true
100,true
99,true
97,true
97,true
96,true
100,true
99,true
97,true
102,true
98,true
99,true
100,true
110,true
104,true
99,true
101,true
96,true
94,true
100,true
97,true
104,true
100,true
96,true
103,true
96,true
96,true
99,true
100,true
98,true
93,true
94,true
96,true
96,true
93,true
99,true
93,true
94,true
100,true
99,true
97,true
99,true
98,true
100,true
97,true
99,true
93,true
101,true
94,true
88,false
93,true
88,true
88,true
85,true
93,true
85,true
86,true
97,true
91,true
86,true
97,true
86,true
88,true
87,true
89,true
91,true
90,true
88,true
91,true
89,true
83,true
90,true
92,true
94,true
96,true
95,true
91,true
95,true
97,true
96,true
95,true
96,true
96,true
97,true
95,true
98,true
97,true
99,true
99,true
98,true
99,true
100,true
100,true
97,true
93,true
96,true
96,true
98,true
98,true
94,true
98,true
101,true
97,true
97,true
94,true
93,true
95,true
92,true
93,true
90,true
93,true
92,true
94,true
92,true
97,true
93,true
95,true
92,true
91,true
92,true
87,true
86,true
93,true
91,true
97,true
98,true
91,true
99,true
100,true
103,true
94,true
91,true
95,true
93,true
94,true
99,true
102,true
107,true
91,true
99,true
101,true
106,true
101,true
90,true
99,true
107,true
98,true
94,true
88,true
91,true
93,true
101,true
107,true
94,true
86,true
100,true
93,true
109,true
103,true
90,true
